date,10,20,16,24,39,80,131,84,138,35,21,83,13,38,85,22,is_open,holidays,gaestezahlen,arrival,departure,temperature,precipitation,cloud_cover,wind_speed,wind_direction
2020-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,46654.14,6.31,14993.0,1018.88,39008.0
2020-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,15.0,15.0,47143.56,40.62,15021.0,1526.01,41108.0
2020-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.0,0.0,16.0,15.0,46985.96,28.83,10357.0,1398.4,39955.0
2020-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,576.0,0.0,14.0,14.0,47014.14,46.96,13336.0,1836.04,37785.0
2020-02-24,306.0,184.0,110.0,111.0,81.0,78.0,121.0,101.0,97.0,62.0,88.0,48.0,47.0,50.0,0.0,58.0,25.0,504.0,67200.0,16.0,16.0,47004.66,48.55,13540.0,1803.07,40944.0
2020-03-02,336.0,170.0,184.0,144.0,80.0,119.0,156.0,82.0,110.0,68.0,70.0,42.0,59.0,57.0,28.0,49.0,48.0,144.0,124800.0,15.0,17.0,46771.47,30.17,12534.0,1368.11,38711.0
2020-03-09,271.0,135.0,139.0,126.0,64.0,81.0,145.0,67.0,144.0,89.0,88.0,54.0,75.0,73.0,47.0,77.0,47.0,288.0,93600.0,14.0,14.0,46933.27,12.05,11353.0,1078.16,32992.0
2020-03-16,325.0,176.0,164.0,154.0,67.0,87.0,246.0,94.0,201.0,106.0,92.0,43.0,80.0,87.0,52.0,56.0,47.0,96.0,62400.0,15.0,15.0,47200.75,16.97,9891.0,1432.46,39929.0
2020-03-23,171.0,75.0,55.0,63.0,26.0,41.0,52.0,30.0,18.0,39.0,34.0,27.0,39.0,19.0,26.0,24.0,38.0,0.0,0.0,18.0,17.0,46854.95,3.0700000000000003,8602.0,1129.53,25928.0
2020-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,19.0,18.0,46465.47,2.45,5306.0,1225.69,21572.0
2020-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,576.0,0.0,23.0,24.0,47165.04,2.14,4359.0,1100.87,35517.0
2020-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2184.0,0.0,25.0,24.0,47455.11,0.6699999999999999,8844.0,796.19,31187.0
2020-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1440.0,0.0,23.0,21.0,47326.38,0.28,5670.0,1106.46,23271.0
2020-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,15.0,18.0,47663.23,0.0,5217.0,994.29,31724.0
2020-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,47505.01,25.3,10784.0,861.95,35365.0
2020-05-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,33600.0,16.0,17.0,47580.18,0.12,6301.0,882.2,36345.0
2020-05-18,356.0,139.0,188.0,126.0,91.0,101.0,189.0,75.0,98.0,95.0,91.0,69.0,90.0,56.0,63.0,96.0,45.0,48.0,117600.0,19.0,17.0,47559.05,4.52,8856.0,1131.92,43614.0
2020-05-25,1167.0,507.0,484.0,475.0,206.0,340.0,313.0,138.0,184.0,271.0,296.0,97.0,201.0,144.0,128.0,221.0,63.0,432.0,348000.0,22.0,22.0,48218.37,7.58,11758.0,956.24,37133.0
2020-06-01,1210.0,634.0,619.0,509.0,205.0,421.0,326.0,227.0,143.0,261.0,213.0,156.0,199.0,149.0,147.0,181.0,63.0,216.0,451200.0,22.0,24.0,48131.24,0.0,7809.0,851.63,19987.0
2020-06-08,1724.0,816.0,969.0,689.0,487.0,600.0,427.0,345.0,259.0,338.0,335.0,255.0,283.0,259.0,113.0,288.0,63.0,384.0,420000.0,22.0,22.0,48193.28,20.56,12488.0,963.7,29851.0
2020-06-15,1288.0,744.0,855.0,593.0,306.0,436.0,412.0,235.0,211.0,277.0,283.0,160.0,214.0,201.0,96.0,283.0,63.0,240.0,439200.0,26.0,24.0,48573.62,29.03,12485.0,864.82,18355.0
2020-06-22,784.0,527.0,492.0,380.0,215.0,170.0,331.0,180.0,155.0,214.0,212.0,137.0,187.0,156.0,65.0,151.0,54.0,24.0,403200.0,24.0,23.0,48820.03,15.35,10764.0,608.36,40473.0
2020-06-29,967.0,569.0,581.0,332.0,212.0,225.0,298.0,185.0,186.0,221.0,210.0,141.0,140.0,195.0,86.0,179.0,54.0,576.0,412800.0,24.0,23.0,49109.62,9.5,7064.0,839.04,25888.0
2020-07-06,2017.0,989.0,1377.0,678.0,501.0,559.0,631.0,458.0,343.0,321.0,288.0,213.0,205.0,305.0,165.0,319.0,63.0,1080.0,462000.0,32.0,26.0,48568.91,41.24,12757.0,1305.48,41127.0
2020-07-13,2319.0,1055.0,1350.0,815.0,669.0,712.0,431.0,432.0,200.0,444.0,304.0,250.0,298.0,326.0,161.0,330.0,63.0,1512.0,526800.0,30.0,27.0,48165.1,28.62,10365.0,860.98,38449.0
2020-07-20,1864.0,843.0,1319.0,592.0,453.0,639.0,463.0,297.0,232.0,290.0,330.0,164.0,193.0,250.0,155.0,225.0,54.0,1920.0,597600.0,29.0,28.0,48691.270000000004,11.46,10447.0,551.04,36196.0
2020-07-27,2578.0,1398.0,1941.0,841.0,759.0,902.0,422.0,383.0,303.0,471.0,494.0,256.0,340.0,349.0,209.0,375.0,63.0,2376.0,628800.0,29.0,32.0,48695.92,20.05,11197.0,888.13,41573.0
2020-08-03,2297.0,1211.0,1650.0,1109.0,796.0,735.0,548.0,373.0,319.0,428.0,398.0,237.0,420.0,378.0,240.0,409.0,63.0,2592.0,633600.0,30.0,26.0,48812.88,3.4,10156.0,982.78,39123.0
2020-08-10,2700.0,1078.0,1498.0,992.0,740.0,598.0,372.0,397.0,161.0,371.0,321.0,203.0,375.0,415.0,190.0,313.0,63.0,2232.0,590400.0,27.0,28.0,49390.99,0.12,5788.0,700.48,21077.0
2020-08-17,2324.0,1032.0,1254.0,733.0,781.0,658.0,495.0,445.0,253.0,455.0,457.0,274.0,392.0,433.0,233.0,349.0,63.0,1488.0,598800.0,28.0,26.0,49780.16,5.36,8656.0,852.08,15555.0
2020-08-24,1576.0,852.0,1242.0,602.0,658.0,552.0,530.0,410.0,267.0,351.0,365.0,225.0,298.0,384.0,166.0,228.0,63.0,1176.0,612000.0,27.0,26.0,49178.65,32.230000000000004,12006.0,1008.16,36353.0
2020-08-31,1328.0,829.0,1038.0,573.0,457.0,523.0,541.0,350.0,317.0,350.0,309.0,236.0,244.0,385.0,181.0,236.0,63.0,696.0,572400.0,29.0,25.0,48503.67,47.38,11021.0,1131.3700000000001,35289.0
2020-09-07,1263.0,630.0,898.0,537.0,376.0,416.0,613.0,299.0,363.0,268.0,297.0,193.0,223.0,301.0,141.0,247.0,63.0,336.0,516000.0,21.0,26.0,48331.68,24.57,9553.0,935.76,33315.0
2020-09-14,1121.0,566.0,639.0,428.0,272.0,310.0,553.0,263.0,321.0,283.0,310.0,223.0,205.0,226.0,107.0,210.0,63.0,120.0,446400.0,22.0,21.0,48557.03,3.61,11096.0,1087.32,39420.0
2020-09-21,1175.0,660.0,631.0,435.0,228.0,308.0,548.0,276.0,318.0,302.0,278.0,200.0,200.0,214.0,175.0,188.0,63.0,0.0,360000.0,17.0,19.0,48406.21,0.0,5446.0,859.8,20167.0
2020-09-28,1037.0,487.0,616.0,408.0,187.0,285.0,569.0,235.0,354.0,279.0,265.0,196.0,226.0,190.0,134.0,151.0,63.0,0.0,364800.0,19.0,19.0,48228.69,16.25,11314.0,828.01,30384.0
2020-10-05,825.0,449.0,358.0,285.0,137.0,184.0,364.0,184.0,234.0,252.0,155.0,122.0,162.0,115.0,116.0,75.0,54.0,96.0,367200.0,18.0,17.0,48068.63,8.62,13342.0,1223.4,25690.0
2020-10-12,950.0,452.0,542.0,384.0,197.0,285.0,395.0,209.0,243.0,240.0,213.0,132.0,173.0,162.0,99.0,96.0,45.0,792.0,429600.0,24.0,22.0,47683.409999999996,56.82,11989.0,1262.92,42612.0
2020-10-19,1718.0,854.0,1064.0,534.0,493.0,548.0,626.0,293.0,409.0,338.0,385.0,242.0,281.0,242.0,184.0,194.0,45.0,1632.0,470400.0,27.0,24.0,47370.810000000005,2.09,13233.0,1001.26,22714.0
2020-10-26,2055.0,879.0,1208.0,692.0,496.0,565.0,547.0,322.0,311.0,284.0,277.0,270.0,292.0,269.0,181.0,144.0,54.0,1248.0,429600.0,24.0,25.0,47895.09,20.45,12789.0,1356.88,34120.0
2020-11-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.0,144000.0,16.0,16.0,47957.07,33.62,14031.0,1505.53,36658.0
2020-11-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,16.0,16.0,47271.53,2.39,6876.0,1008.68,32484.0
2020-11-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,47431.54,25.7,13989.0,1099.22,31025.0
2020-11-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,14.0,14.0,47288.67,11.75,12029.0,1533.89,41489.0
2020-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,16.0,46658.1,2.35,15022.0,933.04,30254.0
2020-12-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,46575.21,20.84,15813.0,1069.17,22998.0
