Verkehrstage;Starthafen;Abfahrt;SchSP1ff;Zielhafen;Ankunft;Verkehrsart;Bezeichnung;Rundfahrt;Kapazität;Sicht+buchbar;Handkasse;Automat;Spezial;Urlaubsservice;Kurbeitragskontrolle;Banderole ;Ein-Aussteiger
12.04.2023;NS;06:30:00;SP4;SP;07:10:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
13.04.2023;NS;07:15:00;SP4;SP;07:55:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
14.04.2023;NS;06:00:00;SP4;SP;06:40:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
15.04.2023;NS;07:15:00;SP4;SP;07:55:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
15.04.2023;NS;15:30:00;SP4;SP;16:10:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
16.04.2023;NS;09:15:00;SP4;SP;09:55:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
17.04.2023;NS;06:30:00;SP4;SP;07:10:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
17.04.2023;NS;10:45:00;SP4;SP;11:25:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
18.04.2023;NS;07:40:00;SP4;SP;08:20:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
18.04.2023;NS;12:00:00;SP4;SP;12:40:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
19.04.2023;NS;08:40:00;SP4;SP;09:20:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
20.04.2023;NS;09:10:00;SP4;SP;09:50:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
20.04.2023;NS;13:30:00;SP4;SP;14:10:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
21.04.2023;NS;09:45:00;SP4;SP;10:25:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
22.04.2023;NS;10:15:00;SP4;SP;10:55:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
24.04.2023;NS;11:20:00;SP4;SP;12:00:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
25.04.2023;NS;06:00:00;SP4;SP;06:40:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
25.04.2023;NS;14:00:00;SP4;SP;14:40:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
26.04.2023;NS;06:30:00;SP4;SP;07:10:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
27.04.2023;NS;07:15:00;SP4;SP;07:55:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
27.04.2023;NS;15:00:00;SP4;SP;15:40:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
28.04.2023;NS;05:45:00;SP4;SP;06:25:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
29.04.2023;NS;07:10:00;SP4;SP;07:50:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
01.05.2023;NS;09:45:00;SP4;SP;10:25:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
01.05.2023;NS;17:45:00;SP4;SP;18:25:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
02.05.2023;NS;06:45:00;SP4;SP;07:25:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
02.05.2023;NS;11:00:00;SP4;SP;11:40:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
03.05.2023;NS;07:40:00;SP4;SP;08:20:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
04.05.2023;NS;08:20:00;SP4;SP;09:00:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
04.05.2023;NS;12:15:00;SP4;SP;12:55:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
05.05.2023;NS;08:40:00;SP4;SP;09:20:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
08.05.2023;NS;10:45:00;SP4;SP;11:25:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
09.05.2023;NS;11:00:00;SP4;SP;11:40:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
09.05.2023;NS;15:15:00;SP4;SP;15:55:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
10.05.2023;NS;05:45:00;SP4;SP;06:25:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
11.05.2023;NS;06:30:00;SP4;SP;07:10:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
11.05.2023;NS;14:30:00;SP4;SP;15:10:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
12.05.2023;NS;07:30:00;SP4;SP;08:10:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
15.05.2023;NS;07:15:00;SP4;SP;07:55:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
16.05.2023;NS;06:00:00;SP4;SP;06:40:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
16.05.2023;NS;10:15:00;SP4;SP;10:55:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
17.05.2023;NS;07:15:00;SP4;SP;07:55:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
17.05.2023;NS;11:15:00;SP4;SP;11:55:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
18.05.2023;NS;12:30:00;SP4;SP;13:10:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
19.05.2023;NS;08:40:00;SP4;SP;09:20:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
20.05.2023;NS;09:10:00;SP4;SP;09:50:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
22.05.2023;NS;10:30:00;SP4;SP;11:10:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
22.05.2023;NS;14:45:00;SP4;SP;15:25:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
23.05.2023;NS;11:10:00;SP4;SP;11:50:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
24.05.2023;NS;11:30:00;SP4;SP;12:10:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
24.05.2023;NS;15:45:00;SP4;SP;16:25:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
25.05.2023;NS;06:15:00;SP4;SP;06:55:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
25.05.2023;NS;14:15:00;SP4;SP;14:55:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
26.05.2023;NS;06:45:00;SP4;SP;07:25:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
27.05.2023;NS;07:30:00;SP4;SP;08:10:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
28.05.2023;NS;08:30:00;SP4;SP;09:10:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
30.05.2023;NS;07:15:00;SP4;SP;07:55:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
31.05.2023;NS;05:45:00;SP4;SP;06:25:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
31.05.2023;NS;10:00:00;SP4;SP;10:40:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
01.06.2023;NS;06:10:00;SP4;SP;06:50:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
01.06.2023;NS;10:30:00;SP4;SP;11:10:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
02.06.2023;NS;07:15:00;SP4;SP;07:55:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
02.06.2023;NS;11:30:00;SP4;SP;12:10:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
03.06.2023;NS;08:15:00;SP4;SP;08:55:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
05.06.2023;NS;10:00:00;SP4;SP;10:40:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
06.06.2023;NS;10:00:00;SP4;SP;10:40:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
06.06.2023;NS;14:15:00;SP4;SP;14:55:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
07.06.2023;NS;11:00:00;SP4;SP;11:40:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
08.06.2023;NS;05:45:00;SP4;SP;06:25:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
08.06.2023;NS;13:45:00;SP4;SP;14:25:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
09.06.2023;NS;06:30:00;SP4;SP;07:10:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
16.06.2023;NS;07:15:00;SP4;SP;07:55:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
16.06.2023;NS;11:25:00;SP4;SP;12:05:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
17.06.2023;NS;08:40:00;SP4;SP;09:20:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
19.06.2023;NS;09:30:00;SP4;SP;10:10:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
