date,10,20,is_open,holidays,gaestezahlen,arrival,departure,temperature,precipitation,cloud_cover,wind_speed,wind_direction
2020-08-10,2694.0,1073.0,60.0,2232.0,590400.0,27.0,28.0,49390.99,0.12,5788.0,700.48,21077.0
2020-08-17,2323.0,1030.0,59.0,1488.0,598800.0,28.0,26.0,49780.16,5.36,8656.0,852.08,15555.0
2020-08-24,1575.0,852.0,61.0,1176.0,612000.0,27.0,26.0,49178.65,32.230000000000004,12006.0,1008.16,36353.0
2020-08-31,1328.0,828.0,61.0,696.0,572400.0,29.0,25.0,48503.67,47.38,11021.0,1131.3700000000001,35289.0
2020-09-07,1263.0,629.0,57.0,336.0,516000.0,21.0,26.0,48331.68,24.57,9553.0,935.76,33315.0
2020-09-14,1121.0,565.0,55.0,120.0,446400.0,22.0,21.0,48557.03,3.61,11096.0,1087.32,39420.0
2020-09-21,1174.0,660.0,53.0,0.0,360000.0,17.0,19.0,48406.21,0.0,5446.0,859.8,20167.0
2020-09-28,1035.0,483.0,57.0,0.0,364800.0,19.0,19.0,48228.69,16.25,11314.0,828.01,30384.0
2020-10-05,825.0,449.0,50.0,96.0,367200.0,18.0,17.0,48068.63,8.62,13342.0,1223.4,25690.0
2020-10-12,950.0,448.0,39.0,792.0,429600.0,24.0,22.0,47683.409999999996,56.82,11989.0,1262.92,42612.0
2020-10-19,1718.0,854.0,45.0,1632.0,470400.0,27.0,24.0,47370.810000000005,2.09,13233.0,1001.26,22714.0
2020-10-26,2055.0,874.0,48.0,1248.0,429600.0,24.0,25.0,47895.09,20.45,12789.0,1356.88,34120.0
2020-11-02,0.0,0.0,0.0,432.0,144000.0,16.0,16.0,47957.07,33.62,14031.0,1505.53,36658.0
2020-11-09,0.0,0.0,0.0,96.0,0.0,16.0,16.0,47271.53,2.39,6876.0,1008.68,32484.0
2020-11-16,0.0,0.0,0.0,0.0,0.0,15.0,15.0,47431.54,25.7,13989.0,1099.22,31025.0
2020-11-23,0.0,0.0,0.0,24.0,0.0,14.0,14.0,47288.67,11.75,12029.0,1533.89,41489.0
2020-11-30,0.0,0.0,0.0,0.0,0.0,17.0,16.0,46658.1,2.35,15022.0,933.04,30254.0
2020-12-07,0.0,0.0,0.0,0.0,0.0,18.0,18.0,46575.21,20.84,15813.0,1069.17,22998.0
2020-12-14,0.0,0.0,0.0,0.0,0.0,18.0,17.0,46537.479999999996,5.13,16063.0,972.11,24788.0
2020-12-21,0.0,0.0,0.0,384.0,0.0,17.0,19.0,47173.479999999996,18.53,13347.0,1149.15,32262.0
2020-12-28,0.0,0.0,0.0,2592.0,0.0,16.0,15.0,46625.67,39.98,14521.0,1198.48,30955.0
2021-01-04,0.0,0.0,0.0,2256.0,0.0,17.0,17.0,46394.35,17.34,13811.0,1073.52,28907.0
2021-01-11,0.0,0.0,0.0,792.0,0.0,19.0,18.0,46193.63,12.99,15299.0,1058.62,20857.0
2021-01-18,0.0,0.0,0.0,0.0,0.0,16.0,16.0,46187.89,17.0,12716.0,1188.54,32265.0
2021-01-25,0.0,0.0,0.0,24.0,0.0,11.0,11.0,46603.44,27.09,13759.0,1302.49,38286.0
2021-02-01,0.0,0.0,0.0,264.0,0.0,14.0,14.0,45743.2,0.0,13106.0,946.18,25440.0
2021-02-08,0.0,0.0,0.0,528.0,0.0,11.0,12.0,45778.89,1.24,15961.0,1650.8,16789.0
2021-02-15,0.0,0.0,0.0,312.0,0.0,16.0,17.0,45417.64,0.0,10131.0,1101.8,16898.0
2021-02-22,0.0,0.0,0.0,192.0,0.0,12.0,13.0,47186.21,15.42,12827.0,1094.23,32376.0
2021-03-01,0.0,0.0,0.0,24.0,0.0,13.0,13.0,47038.27,0.64,11255.0,847.25,40224.0
