Verkehrstage;Starthafen;Abfahrt;SchSP1ff;Zielhafen;Ankunft;Verkehrsart;Bezeichnung;Rundfahrt;Kapazität;Sicht+buchbar;Handkasse;Automat;Spezial;Urlaubsservice;Kurbeitragskontrolle;Banderole ;Ein-Aussteiger
28.05.2023;NS;08:40:00;SP2;SP;09:20:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
29.05.2023;NS;09:40:00;SP2;SP;10:20:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
29.05.2023;NS;17:45:00;SP2;SP;18:25:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
30.05.2023;NS;09:40:00;SP2;SP;10:20:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
30.05.2023;NS;17:40:00;SP2;SP;18:20:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
31.05.2023;NS;19:15:00;SP2;SP;19:55:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
01.06.2023;NS;10:45:00;SP2;SP;12:15:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
01.06.2023;NS;19:40:00;SP2;SP;20:20:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
02.06.2023;NS;09:40:00;SP2;SP;10:20:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
02.06.2023;NS;19:40:00;SP2;SP;20:20:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
03.06.2023;NS;09:45:00;SP2;SP;10:25:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
04.06.2023;NS;10:45:00;SP2;SP;11:25:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
04.06.2023;NS;15:10:00;SP2;SP;15:50:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
06.06.2023;NS;11:15:00;SP2;SP;11:55:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
06.06.2023;NS;16:40:00;SP2;SP;17:20:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
08.06.2023;NS;12:40:00;SP2;SP;14:10:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
