date,10,11,12,13,16,20,21,22,23,24,27,28,29,31,32,35,38,39,80,82,83,84,85,86,97,98,99,105,107,111,112,is_open,holidays,gaestezahlen,arrival,departure,temperature,precipitation,cloud_cover,wind_speed,wind_direction
2019-04-08,268.0,9.0,5.0,25.0,66.0,75.0,37.0,19.0,9.0,61.0,7.0,7.0,6.0,9.0,7.0,51.0,12.0,29.0,45.0,21.0,22.0,23.0,0.0,22.0,3.0,2.0,3.0,6.0,9.0,0.0,17.0,9.0,72.0,24000.0,3.0,3.0,6767.66,0.0,124.0,150.2,1481.0
2019-04-09,202.0,19.0,18.0,22.0,72.0,53.0,48.0,22.0,14.0,54.0,7.0,6.0,5.0,5.0,3.0,49.0,27.0,30.0,42.0,17.0,20.0,23.0,7.0,18.0,3.0,5.0,1.0,7.0,9.0,0.0,12.0,9.0,72.0,24000.0,3.0,4.0,6730.2699999999995,0.0,69.0,189.26,1536.0
2019-04-10,188.0,15.0,8.0,38.0,76.0,79.0,29.0,21.0,9.0,47.0,8.0,7.0,6.0,2.0,5.0,50.0,32.0,28.0,51.0,9.0,8.0,22.0,6.0,24.0,0.0,3.0,3.0,0.0,5.0,0.0,15.0,9.0,72.0,24000.0,2.0,3.0,6668.64,0.0,838.0,175.51,1304.0
2019-04-11,225.0,18.0,12.0,37.0,82.0,83.0,36.0,26.0,15.0,78.0,6.0,5.0,6.0,5.0,4.0,53.0,30.0,30.0,57.0,11.0,12.0,24.0,16.0,17.0,2.0,6.0,2.0,0.0,15.0,7.0,28.0,9.0,72.0,24000.0,4.0,3.0,6685.43,0.21000000000000002,1129.0,138.79,1482.0
2019-04-12,149.0,10.0,4.0,32.0,82.0,78.0,43.0,16.0,9.0,63.0,8.0,7.0,7.0,5.0,6.0,52.0,23.0,33.0,59.0,13.0,11.0,24.0,12.0,24.0,3.0,4.0,3.0,0.0,8.0,15.0,17.0,9.0,72.0,67200.0,4.0,4.0,6675.01,0.0,1008.0,143.03,1844.0
2019-04-13,147.0,24.0,13.0,22.0,62.0,61.0,23.0,22.0,8.0,61.0,6.0,2.0,3.0,5.0,3.0,37.0,14.0,48.0,57.0,12.0,12.0,35.0,7.0,24.0,2.0,3.0,6.0,0.0,7.0,14.0,11.0,9.0,72.0,72000.0,3.0,4.0,6621.3,1.45,952.0,186.18,1544.0
2019-04-14,175.0,21.0,16.0,32.0,50.0,72.0,34.0,8.0,11.0,64.0,5.0,3.0,6.0,7.0,8.0,32.0,20.0,57.0,65.0,19.0,12.0,15.0,11.0,23.0,4.0,3.0,0.0,0.0,10.0,14.0,27.0,9.0,72.0,69600.0,2.0,2.0,6682.68,0.8500000000000001,1860.0,171.31,1867.0
2019-04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.0,69600.0,3.0,3.0,6746.08,0.0,604.0,186.76,2011.0
2019-04-16,192.0,31.0,12.0,57.0,48.0,109.0,61.0,35.0,28.0,70.0,7.0,13.0,6.0,13.0,15.0,49.0,59.0,104.0,74.0,29.0,35.0,61.0,11.0,41.0,10.0,6.0,6.0,0.0,15.0,6.0,26.0,9.0,288.0,67200.0,3.0,3.0,6738.83,0.0,21.0,204.6,2080.0
2019-04-17,259.0,29.0,0.0,43.0,77.0,113.0,106.0,31.0,3.0,77.0,13.0,15.0,8.0,10.0,8.0,69.0,69.0,38.0,77.0,23.0,23.0,67.0,10.0,44.0,4.0,2.0,5.0,0.0,11.0,33.0,27.0,9.0,312.0,67200.0,4.0,4.0,6820.37,0.0,1054.0,188.78,2367.0
2019-04-18,230.0,29.0,9.0,20.0,87.0,75.0,14.0,24.0,24.0,82.0,12.0,17.0,7.0,9.0,14.0,42.0,17.0,50.0,76.0,27.0,29.0,64.0,14.0,40.0,1.0,7.0,2.0,0.0,9.0,28.0,22.0,9.0,336.0,67200.0,3.0,3.0,6822.65,0.0,652.0,183.01,1999.0
2019-04-19,200.0,24.0,11.0,29.0,88.0,92.0,84.0,35.0,21.0,78.0,10.0,16.0,6.0,8.0,17.0,38.0,51.0,61.0,48.0,30.0,33.0,53.0,23.0,37.0,3.0,5.0,5.0,2.0,9.0,26.0,1.0,9.0,336.0,67200.0,3.0,3.0,6861.42,0.0,95.0,162.24,1920.0
2019-04-20,244.0,33.0,6.0,46.0,126.0,99.0,60.0,29.0,20.0,141.0,9.0,13.0,5.0,15.0,11.0,56.0,70.0,69.0,72.0,35.0,27.0,32.0,4.0,26.0,3.0,4.0,4.0,0.0,9.0,40.0,27.0,9.0,336.0,67200.0,3.0,3.0,6833.59,0.0,20.0,124.09,1805.0
2019-04-21,228.0,20.0,3.0,25.0,96.0,76.0,63.0,33.0,12.0,79.0,16.0,5.0,9.0,6.0,11.0,38.0,45.0,54.0,68.0,23.0,29.0,51.0,0.0,28.0,6.0,3.0,4.0,0.0,6.0,27.0,26.0,9.0,336.0,62400.0,3.0,3.0,6813.34,0.0,0.0,100.96000000000001,1806.0
2019-04-22,255.0,25.0,8.0,37.0,82.0,110.0,24.0,20.0,21.0,87.0,15.0,7.0,7.0,11.0,10.0,39.0,33.0,66.0,53.0,13.0,25.0,32.0,1.0,22.0,0.0,0.0,0.0,0.0,9.0,0.0,12.0,9.0,336.0,55200.0,3.0,3.0,6902.5,0.0,29.0,188.98,2481.0
2019-04-23,282.0,37.0,18.0,39.0,54.0,41.0,22.0,23.0,24.0,51.0,5.0,10.0,6.0,9.0,10.0,45.0,26.0,36.0,50.0,24.0,14.0,20.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,32.0,30.0,9.0,336.0,55200.0,2.0,3.0,6918.55,0.0,101.0,249.53,2318.0
2019-04-24,206.0,16.0,2.0,34.0,58.0,93.0,30.0,22.0,7.0,61.0,11.0,9.0,9.0,9.0,8.0,77.0,27.0,40.0,65.0,21.0,23.0,0.0,11.0,26.0,0.0,0.0,0.0,0.0,6.0,24.0,23.0,9.0,288.0,55200.0,4.0,3.0,6959.64,2.18,1536.0,181.58,2810.0
2019-04-25,213.0,19.0,9.0,40.0,64.0,73.0,52.0,20.0,9.0,58.0,9.0,14.0,7.0,14.0,13.0,45.0,17.0,69.0,51.0,11.0,23.0,32.0,18.0,34.0,3.0,5.0,4.0,0.0,7.0,17.0,27.0,9.0,264.0,55200.0,4.0,3.0,6926.83,1.75,1997.0,134.09,3926.0
2019-04-26,216.0,23.0,4.0,29.0,36.0,70.0,47.0,27.0,17.0,53.0,12.0,11.0,7.0,14.0,13.0,78.0,39.0,64.0,53.0,22.0,16.0,36.0,21.0,25.0,0.0,3.0,4.0,0.0,10.0,25.0,19.0,9.0,264.0,55200.0,4.0,3.0,6848.9400000000005,2.05,2300.0,85.92,6598.0
2019-04-27,165.0,16.0,5.0,12.0,61.0,53.0,33.0,22.0,21.0,43.0,9.0,10.0,6.0,14.0,0.0,43.0,6.0,57.0,36.0,30.0,18.0,31.0,15.0,26.0,3.0,5.0,5.0,0.0,10.0,16.0,32.0,9.0,168.0,55200.0,3.0,3.0,6801.9400000000005,1.8599999999999999,1633.0,106.01,4790.0
2019-04-28,93.0,9.0,3.0,11.0,26.0,24.0,24.0,17.0,7.0,36.0,6.0,12.0,3.0,8.0,0.0,31.0,28.0,33.0,27.0,16.0,25.0,24.0,21.0,25.0,4.0,4.0,3.0,0.0,4.0,23.0,22.0,9.0,48.0,55200.0,2.0,2.0,6754.31,2.66,1487.0,69.79,5475.0
2019-04-29,179.0,18.0,12.0,15.0,34.0,70.0,34.0,19.0,11.0,39.0,15.0,12.0,6.0,11.0,0.0,30.0,10.0,32.0,30.0,14.0,12.0,22.0,11.0,24.0,15.0,4.0,3.0,0.0,8.0,0.0,11.0,9.0,48.0,60000.0,3.0,3.0,6749.51,2.07,2207.0,131.54,7991.0
2019-04-30,216.0,9.0,13.0,18.0,37.0,64.0,35.0,24.0,15.0,63.0,9.0,12.0,5.0,2.0,0.0,38.0,25.0,29.0,42.0,11.0,22.0,39.0,12.0,24.0,6.0,7.0,3.0,0.0,8.0,0.0,13.0,9.0,48.0,60000.0,4.0,4.0,6770.46,0.0,1864.0,110.55,7828.0
2019-05-01,107.0,10.0,3.0,18.0,42.0,50.0,32.0,19.0,7.0,38.0,9.0,9.0,5.0,6.0,0.0,48.0,23.0,46.0,37.0,9.0,12.0,38.0,11.0,21.0,7.0,3.0,5.0,0.0,8.0,0.0,6.0,9.0,0.0,60000.0,3.0,2.0,6766.1900000000005,0.0,2392.0,152.84,7052.0
2019-05-02,99.0,9.0,5.0,12.0,25.0,35.0,27.0,14.0,10.0,39.0,18.0,10.0,16.0,5.0,0.0,27.0,24.0,34.0,26.0,21.0,16.0,33.0,17.0,29.0,7.0,4.0,4.0,0.0,7.0,0.0,12.0,9.0,0.0,60000.0,4.0,4.0,6785.7,0.24,1906.0,192.26,6907.0
2019-05-03,130.0,11.0,8.0,23.0,35.0,32.0,29.0,7.0,9.0,34.0,6.0,8.0,7.0,10.0,6.0,40.0,30.0,31.0,33.0,23.0,15.0,30.0,17.0,24.0,5.0,1.0,6.0,0.0,8.0,12.0,4.0,9.0,0.0,60000.0,3.0,3.0,6735.43,0.78,1270.0,215.64,7262.0
2019-05-04,118.0,7.0,9.0,11.0,24.0,33.0,21.0,12.0,8.0,27.0,8.0,1.0,6.0,3.0,8.0,33.0,16.0,39.0,17.0,17.0,18.0,31.0,18.0,24.0,5.0,3.0,5.0,0.0,10.0,27.0,16.0,9.0,0.0,60000.0,2.0,3.0,6721.7,0.5800000000000001,996.0,191.98,7837.0
2019-05-05,112.0,11.0,4.0,17.0,38.0,43.0,25.0,12.0,11.0,31.0,9.0,10.0,8.0,4.0,8.0,31.0,21.0,40.0,24.0,19.0,10.0,32.0,12.0,22.0,3.0,3.0,4.0,0.0,2.0,7.0,19.0,9.0,0.0,60000.0,2.0,2.0,6742.91,0.5900000000000001,1075.0,164.72,7772.0
2019-05-06,111.0,7.0,9.0,11.0,37.0,46.0,51.0,19.0,9.0,32.0,9.0,11.0,4.0,6.0,10.0,35.0,13.0,48.0,21.0,10.0,13.0,22.0,15.0,21.0,1.0,2.0,0.0,0.0,6.0,15.0,11.0,9.0,0.0,45600.0,3.0,3.0,6737.28,4.0,1457.0,188.08,6845.0
2019-05-07,81.0,9.0,2.0,10.0,25.0,25.0,24.0,5.0,4.0,23.0,10.0,10.0,3.0,10.0,10.0,21.0,13.0,31.0,14.0,10.0,11.0,26.0,9.0,21.0,0.0,0.0,0.0,3.0,2.0,10.0,0.0,9.0,0.0,39600.0,3.0,3.0,6747.45,1.2200000000000002,1205.0,91.39,5879.0
2019-05-08,108.0,8.0,8.0,8.0,40.0,36.0,33.0,7.0,7.0,33.0,6.0,6.0,5.0,3.0,3.0,23.0,13.0,25.0,16.0,12.0,12.0,26.0,12.0,21.0,0.0,0.0,0.0,4.0,7.0,7.0,0.0,9.0,0.0,38400.0,3.0,3.0,6775.85,2.81,2110.0,136.6,3352.0
2019-05-09,93.0,11.0,7.0,15.0,37.0,27.0,24.0,5.0,12.0,23.0,6.0,7.0,6.0,5.0,7.0,31.0,12.0,37.0,15.0,14.0,13.0,16.0,16.0,21.0,1.0,3.0,2.0,0.0,7.0,9.0,11.0,9.0,0.0,40800.0,3.0,3.0,6820.91,3.1100000000000003,1686.0,107.21,5016.0
2019-05-10,91.0,20.0,3.0,14.0,41.0,36.0,15.0,5.0,12.0,15.0,5.0,6.0,2.0,1.0,5.0,33.0,24.0,25.0,10.0,6.0,11.0,26.0,12.0,20.0,2.0,2.0,1.0,1.0,5.0,5.0,12.0,9.0,0.0,43200.0,3.0,2.0,6791.36,0.8400000000000001,1187.0,122.86,6863.0
2019-05-11,70.0,12.0,3.0,5.0,33.0,20.0,20.0,14.0,7.0,28.0,3.0,4.0,6.0,3.0,5.0,38.0,12.0,31.0,29.0,11.0,30.0,22.0,25.0,33.0,3.0,3.0,1.0,4.0,6.0,6.0,11.0,9.0,0.0,43200.0,2.0,2.0,6756.99,0.0,616.0,130.69,3619.0
2019-05-12,81.0,29.0,9.0,9.0,17.0,29.0,21.0,13.0,8.0,22.0,6.0,6.0,1.0,4.0,6.0,26.0,12.0,13.0,19.0,17.0,14.0,31.0,17.0,15.0,3.0,4.0,2.0,3.0,3.0,12.0,9.0,9.0,0.0,42000.0,2.0,2.0,6790.66,0.0,569.0,176.06,8034.0
2019-05-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,38400.0,3.0,3.0,6784.92,0.0,918.0,144.37,7545.0
2019-05-14,117.0,9.0,4.0,14.0,26.0,40.0,31.0,13.0,3.0,37.0,6.0,6.0,6.0,5.0,6.0,22.0,7.0,32.0,19.0,12.0,10.0,23.0,12.0,20.0,1.0,0.0,4.0,5.0,2.0,9.0,14.0,9.0,24.0,38400.0,3.0,3.0,6797.56,0.0,1581.0,121.62,679.0
2019-05-15,99.0,5.0,3.0,18.0,41.0,38.0,17.0,18.0,8.0,30.0,2.0,2.0,4.0,6.0,6.0,28.0,8.0,35.0,22.0,11.0,10.0,23.0,10.0,22.0,1.0,4.0,3.0,2.0,5.0,13.0,13.0,9.0,24.0,38400.0,3.0,3.0,6802.58,0.0,373.0,96.55,1713.0
2019-05-16,114.0,12.0,8.0,14.0,34.0,42.0,24.0,12.0,6.0,26.0,5.0,13.0,1.0,4.0,6.0,20.0,10.0,31.0,26.0,13.0,15.0,29.0,18.0,20.0,3.0,3.0,3.0,6.0,5.0,8.0,7.0,9.0,24.0,39600.0,4.0,4.0,6824.49,1.22,1968.0,168.83,1130.0
2019-05-17,94.0,13.0,12.0,12.0,46.0,42.0,30.0,9.0,6.0,30.0,5.0,5.0,6.0,5.0,6.0,30.0,10.0,35.0,35.0,9.0,9.0,27.0,13.0,20.0,4.0,0.0,2.0,0.0,1.0,10.0,14.0,9.0,24.0,43200.0,4.0,4.0,6845.28,0.46,2383.0,147.74,1941.0
2019-05-18,136.0,20.0,10.0,16.0,36.0,50.0,34.0,20.0,12.0,31.0,3.0,0.0,6.0,5.0,2.0,28.0,7.0,40.0,36.0,8.0,7.0,24.0,8.0,14.0,0.0,0.0,2.0,0.0,1.0,9.0,10.0,9.0,0.0,44400.0,2.0,2.0,6894.36,0.0,877.0,118.73,1834.0
2019-05-19,143.0,15.0,5.0,10.0,21.0,63.0,21.0,13.0,12.0,35.0,8.0,8.0,3.0,8.0,8.0,20.0,8.0,12.0,47.0,15.0,11.0,25.0,12.0,22.0,2.0,2.0,1.0,0.0,4.0,13.0,14.0,9.0,0.0,43200.0,3.0,2.0,6892.08,1.67,1469.0,121.6,1452.0
2019-05-20,158.0,12.0,11.0,16.0,40.0,66.0,36.0,23.0,14.0,30.0,6.0,0.0,6.0,4.0,4.0,23.0,11.0,26.0,29.0,12.0,18.0,36.0,9.0,23.0,3.0,2.0,3.0,0.0,5.0,14.0,12.0,9.0,0.0,38400.0,2.0,3.0,6889.17,0.3,2147.0,125.65,3558.0
2019-05-21,109.0,10.0,6.0,14.0,30.0,37.0,56.0,12.0,10.0,17.0,4.0,3.0,3.0,1.0,4.0,28.0,5.0,24.0,18.0,8.0,11.0,22.0,11.0,22.0,3.0,1.0,1.0,0.0,5.0,10.0,8.0,9.0,0.0,38400.0,2.0,3.0,6844.92,0.67,2318.0,178.32,7864.0
2019-05-22,143.0,12.0,5.0,14.0,25.0,48.0,29.0,14.0,5.0,18.0,6.0,4.0,3.0,4.0,0.0,32.0,11.0,26.0,22.0,14.0,11.0,25.0,12.0,20.0,4.0,2.0,1.0,5.0,3.0,8.0,13.0,9.0,0.0,43200.0,2.0,3.0,6844.44,0.5,1631.0,173.85999999999999,7163.0
2019-05-23,109.0,8.0,10.0,21.0,23.0,31.0,16.0,15.0,10.0,34.0,5.0,3.0,5.0,5.0,1.0,26.0,9.0,24.0,16.0,15.0,10.0,18.0,10.0,24.0,3.0,2.0,3.0,0.0,5.0,15.0,15.0,9.0,0.0,46800.0,3.0,4.0,6894.400000000001,0.0,1014.0,100.84,5862.0
2019-05-24,114.0,13.0,7.0,15.0,28.0,42.0,25.0,12.0,17.0,23.0,8.0,5.0,4.0,8.0,7.0,26.0,10.0,24.0,25.0,10.0,8.0,14.0,12.0,21.0,1.0,1.0,0.0,0.0,1.0,6.0,17.0,9.0,0.0,69600.0,3.0,2.0,6851.56,0.0,1314.0,133.17,6303.0
2019-05-25,177.0,13.0,10.0,30.0,18.0,52.0,9.0,21.0,10.0,32.0,6.0,5.0,5.0,7.0,6.0,36.0,12.0,20.0,26.0,13.0,12.0,22.0,16.0,23.0,3.0,5.0,1.0,0.0,0.0,10.0,9.0,9.0,0.0,76800.0,3.0,3.0,6835.69,0.0,2005.0,137.75,7208.0
2019-05-26,134.0,15.0,6.0,20.0,31.0,55.0,30.0,15.0,8.0,33.0,6.0,7.0,2.0,12.0,11.0,38.0,11.0,21.0,40.0,16.0,12.0,30.0,13.0,23.0,3.0,1.0,2.0,0.0,0.0,12.0,12.0,9.0,0.0,79200.0,2.0,2.0,6876.79,11.18,2400.0,192.16,5665.0
2019-05-27,195.0,17.0,18.0,20.0,61.0,52.0,25.0,24.0,13.0,53.0,0.0,4.0,5.0,7.0,4.0,32.0,11.0,17.0,18.0,17.0,7.0,28.0,9.0,22.0,7.0,1.0,0.0,0.0,0.0,13.0,13.0,9.0,0.0,79200.0,3.0,3.0,6885.76,0.45999999999999996,1419.0,179.17,6194.0
2019-05-28,144.0,19.0,8.0,14.0,24.0,61.0,36.0,21.0,7.0,31.0,5.0,7.0,4.0,8.0,5.0,18.0,9.0,18.0,36.0,15.0,12.0,31.0,14.0,24.0,0.0,0.0,0.0,0.0,0.0,12.0,13.0,9.0,0.0,74400.0,3.0,3.0,6818.04,0.0,1716.0,127.61,7058.0
2019-05-29,232.0,21.0,17.0,16.0,29.0,48.0,55.0,16.0,9.0,37.0,10.0,6.0,6.0,10.0,9.0,33.0,10.0,19.0,67.0,14.0,12.0,27.0,12.0,22.0,0.0,0.0,0.0,0.0,0.0,15.0,11.0,9.0,0.0,60000.0,5.0,4.0,6833.33,0.0,1064.0,92.06,5254.0
2019-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56400.0,5.0,4.0,6920.67,6.07,2313.0,191.79999999999998,5099.0
2019-05-31,268.0,15.0,1.0,6.0,81.0,41.0,50.0,17.0,11.0,103.0,16.0,16.0,5.0,10.0,16.0,92.0,27.0,37.0,89.0,12.0,23.0,46.0,19.0,33.0,0.0,0.0,0.0,0.0,0.0,25.0,27.0,9.0,192.0,61200.0,4.0,4.0,6963.79,0.28,1958.0,144.31,6176.0
2019-06-01,211.0,39.0,21.0,19.0,67.0,10.0,58.0,32.0,3.0,37.0,16.0,13.0,4.0,16.0,16.0,46.0,11.0,37.0,64.0,28.0,36.0,45.0,31.0,52.0,7.0,7.0,16.0,0.0,0.0,11.0,25.0,9.0,48.0,64800.0,4.0,4.0,6928.66,0.53,1254.0,120.13,5686.0
2019-06-02,134.0,23.0,11.0,7.0,54.0,29.0,19.0,9.0,18.0,51.0,7.0,13.0,8.0,8.0,12.0,33.0,20.0,29.0,56.0,16.0,21.0,45.0,18.0,29.0,7.0,8.0,1.0,0.0,0.0,22.0,26.0,9.0,24.0,63600.0,3.0,3.0,7048.6,0.0,1712.0,101.23,3520.0
2019-06-03,206.0,7.0,11.0,14.0,24.0,44.0,11.0,20.0,11.0,48.0,8.0,8.0,5.0,8.0,8.0,37.0,7.0,26.0,47.0,10.0,10.0,27.0,11.0,24.0,0.0,0.0,0.0,0.0,0.0,14.0,13.0,9.0,24.0,44400.0,2.0,3.0,6972.73,0.27,1795.0,100.05,6336.0
