date,10,20,16,24,39,80,131,84,138,35,21,83,13,38,85,22,82,86,112,11,31,111,27,28,32,23,134,12,107,29,57,132,is_open,holidays,gaestezahlen,arrival,departure,temperature,precipitation,cloud_cover,wind_speed,wind_direction
2019-06-22,297.0,43.0,102.0,83.0,108.0,63.0,48.0,32.0,30.0,58.0,47.0,22.0,25.0,28.0,14.0,17.0,36.0,30.0,41.0,15.0,8.0,12.0,4.0,3.0,8.0,11.0,11.0,9.0,10.0,3.0,13.0,18.0,9.0,48.0,72000.0,4.0,3.0,6926.06,0.0,594.0,102.98,2895.0
2019-06-23,207.0,37.0,7.0,56.0,70.0,42.0,38.0,28.0,35.0,60.0,38.0,20.0,20.0,33.0,15.0,31.0,19.0,24.0,29.0,12.0,17.0,15.0,19.0,20.0,14.0,0.0,23.0,8.0,6.0,6.0,6.0,14.0,9.0,48.0,60000.0,2.0,2.0,7025.32,0.0,1434.0,152.34,2198.0
2019-06-24,257.0,55.0,72.0,73.0,66.0,46.0,65.0,29.0,29.0,59.0,38.0,23.0,21.0,23.0,15.0,24.0,17.0,28.0,30.0,7.0,12.0,25.0,14.0,15.0,11.0,11.0,9.0,8.0,5.0,8.0,11.0,19.0,9.0,48.0,60000.0,3.0,3.0,7110.29,0.0,2035.0,177.4,2546.0
2019-06-25,145.0,17.0,23.0,37.0,55.0,14.0,32.0,23.0,27.0,53.0,21.0,15.0,15.0,26.0,16.0,14.0,14.0,15.0,16.0,16.0,5.0,12.0,0.0,10.0,7.0,11.0,25.0,9.0,9.0,6.0,8.0,12.0,9.0,48.0,60000.0,4.0,3.0,7172.33,0.0,1737.0,127.97,2888.0
2019-06-26,136.0,33.0,42.0,52.0,52.0,38.0,66.0,29.0,90.0,40.0,9.0,23.0,17.0,26.0,13.0,8.0,24.0,28.0,23.0,17.0,5.0,25.0,10.0,8.0,7.0,12.0,25.0,10.0,10.0,9.0,7.0,19.0,9.0,48.0,60000.0,3.0,3.0,6993.19,0.0,1663.0,153.75,7335.0
2019-06-27,201.0,36.0,32.0,34.0,78.0,37.0,67.0,24.0,41.0,42.0,53.0,21.0,17.0,27.0,23.0,12.0,28.0,24.0,30.0,19.0,9.0,12.0,7.0,9.0,9.0,11.0,6.0,6.0,9.0,2.0,10.0,23.0,9.0,72.0,60000.0,3.0,3.0,6903.91,0.0,2387.0,180.98,7832.0
2019-06-28,231.0,62.0,56.0,41.0,94.0,49.0,59.0,30.0,55.0,31.0,42.0,23.0,15.0,28.0,15.0,16.0,27.0,31.0,23.0,15.0,9.0,14.0,14.0,10.0,11.0,13.0,14.0,12.0,6.0,0.0,6.0,23.0,9.0,72.0,60000.0,3.0,3.0,6918.72,0.0,1589.0,101.77,6552.0
2019-06-29,160.0,56.0,54.0,48.0,36.0,46.0,31.0,36.0,20.0,42.0,29.0,28.0,16.0,21.0,27.0,21.0,4.0,28.0,29.0,13.0,12.0,15.0,2.0,10.0,8.0,9.0,17.0,8.0,4.0,7.0,11.0,15.0,9.0,72.0,60000.0,3.0,3.0,6958.9,0.0,26.0,61.68,1947.0
2019-06-30,167.0,73.0,60.0,58.0,31.0,55.0,52.0,32.0,38.0,45.0,33.0,22.0,23.0,31.0,24.0,27.0,0.0,29.0,16.0,10.0,11.0,16.0,13.0,7.0,12.0,9.0,5.0,13.0,4.0,6.0,7.0,25.0,9.0,72.0,60000.0,2.0,2.0,7014.58,0.0,325.0,167.05,5451.0
2019-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,60000.0,4.0,4.0,6979.56,0.7,854.0,197.36,6176.0
2019-07-02,199.0,48.0,35.0,46.0,74.0,44.0,58.0,34.0,49.0,35.0,27.0,26.0,16.0,33.0,21.0,15.0,0.0,20.0,24.0,22.0,10.0,28.0,12.0,13.0,10.0,25.0,8.0,12.0,8.0,3.0,14.0,30.0,9.0,192.0,60000.0,4.0,3.0,6926.7,0.0,1268.0,194.26,7350.0
2019-07-03,261.0,47.0,87.0,63.0,73.0,50.0,71.0,40.0,46.0,50.0,53.0,22.0,19.0,26.0,17.0,21.0,3.0,22.0,30.0,9.0,14.0,28.0,22.0,13.0,12.0,4.0,7.0,12.0,9.0,6.0,12.0,21.0,9.0,192.0,64800.0,3.0,3.0,6905.2,0.45,1174.0,164.49,7486.0
2019-07-04,206.0,74.0,54.0,51.0,69.0,46.0,20.0,44.0,25.0,29.0,60.0,23.0,14.0,30.0,20.0,22.0,14.0,22.0,26.0,24.0,14.0,28.0,13.0,7.0,11.0,4.0,20.0,9.0,12.0,5.0,7.0,12.0,9.0,264.0,62400.0,3.0,4.0,6942.49,0.0,2090.0,179.71,6656.0
2019-07-05,222.0,92.0,63.0,52.0,61.0,66.0,51.0,33.0,40.0,52.0,25.0,23.0,24.0,42.0,21.0,25.0,25.0,24.0,29.0,19.0,12.0,6.0,19.0,17.0,14.0,6.0,22.0,12.0,9.0,7.0,9.0,36.0,9.0,264.0,64800.0,4.0,5.0,6957.55,0.0,2311.0,176.38,6872.0
2019-07-06,220.0,77.0,72.0,44.0,69.0,80.0,43.0,39.0,36.0,48.0,25.0,24.0,28.0,37.0,20.0,26.0,29.0,25.0,30.0,22.0,14.0,30.0,20.0,18.0,18.0,26.0,24.0,13.0,9.0,7.0,8.0,11.0,9.0,264.0,64800.0,4.0,4.0,6935.15,2.19,2210.0,181.81,6572.0
